﻿NAME,TYPE EN,SUBTYPE EN,BLOCK,POINT_X_Longitude,POINT_Y_Latitude,location
KARAMI CORNER SANDWICHES,RESTAURANTS,ARABIC RESTAURANTS,814,50.55888266,26.17131731,"26.1713173099999, 50.55888266"
KARAMI RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,242,50.62934043,26.25397222,"26.25397222, 50.6293404299999"
KARAMI RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,646,50.58757557,26.14073192,"26.14073192, 50.5875755699999"
KARAMI RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,721,50.55566961,26.17579547,"26.17579547, 50.55566961"
KHAN AL MURJAN,RESTAURANTS,ARABIC RESTAURANTS,324,50.60492436,26.21660111,"26.2166011099999, 50.6049243599999"
LAYALI ADAN RESTAURANTS,RESTAURANTS,ARABIC RESTAURANTS,202,50.61826465,26.2656069,"26.2656069, 50.61826465"
LAYALI AL BADER RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,911,50.57694418,26.11370798,"26.11370798, 50.5769441799999"
MUSBAH PASTARY,RESTAURANTS,ARABIC RESTAURANTS,422,50.53599377,26.22133976,"26.2213397599999, 50.5359937699999"
MUSTAFA PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,206,50.61672425,26.25783379,"26.2578337899999, 50.6167242499999"
MUSTAFA PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,240,50.63538453,26.25578221,"26.25578221, 50.63538453"
MY PASTRIES RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,913,50.55400249,26.13258019,"26.1325801899999, 50.55400249"
NEW ALABUL GRILLS,RESTAURANTS,ARABIC RESTAURANTS,321,50.5922444,26.22884426,"26.2288442599999, 50.5922443999999"
NEW ALABUL GRILLS,RESTAURANTS,ARABIC RESTAURANTS,911,50.57578973,26.11460787,"26.11460787, 50.5757897299999"
POPEYE PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,812,50.5539078,26.17683626,"26.17683626, 50.5539077999999"
RANOOSH RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,450,50.51587136,26.21806763,"26.21806763, 50.5158713599999"
RANOOSH RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,814,50.55900681,26.171464,"26.171464, 50.55900681"
SABAR AYOUB REASTURANT AND GRILLS,RESTAURANTS,ARABIC RESTAURANTS,210,50.6176813,26.25540198,"26.2554019799999, 50.6176813"
SAMIR PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,812,50.55498778,26.17611807,"26.17611807, 50.5549877799999"
SHTOORA GRILLS,RESTAURANTS,ARABIC RESTAURANTS,205,50.61375127,26.26049692,"26.26049692, 50.61375127"
SHUBBRA RESTAURANT & GRILLS,RESTAURANTS,ARABIC RESTAURANTS,329,50.5698071,26.21656299,"26.21656299, 50.5698070999999"
